Price,Size,Address,Price Per Square Meter,Price Per Square Meter Integer,Latitude,Longitude
€ 1.020.000,120 m²,"Trilocale via Pasquale Sottocorno, 40, Piave - Tricolore, Milano",€8500 / m^2,8500,45.4658304,9.2106395
da € 345.000,da 61 m²,Appartamenti di nuova costruzione a Milano,€5656 / m^2,5656,41.9455546,10.0964158
€ 340.000,90 m²,"Trilocale viale Sarca 87, Prato Centenaro, Milano",€3778 / m^2,3778,45.5095048,9.2049997
da € 260.000,da 43 m²,Attici e Appartamenti di nuova costruzione a Milano,€6047 / m^2,6047,45.4650849,9.1704932
€ 690.000,100 m²,"Trilocale via Felice Casati, Buenos Aires, Milano",€6900 / m^2,6900,45.4818307,9.2070006
€ 730.000,92 m²,"Trilocale via Mauro Macchi 34, Centrale, Milano",€7935 / m^2,7935,45.4848768,9.2080229
€ 890.000,140 m²,"Quadrilocale viale Teodorico, Sempione, Milano",€6357 / m^2,6357,45.4842435,9.1505107
"€ 950.000€ 1.030.000(-7,8%)",155 m²,"Appartamento via Giovanni da Procida 3, Sempione, Milano",€6129 / m^2,6129,45.4791562,9.162601
"€ 359.000€ 379.000(-5,3%)",80 m²,"Trilocale via Sant'Ampellio 5, Pezzotti - Meda, Milano",€4488 / m^2,4488,45.4389626,9.1842944
€ 145.000,80 m²,"Bilocale via Jacopo Palma 31, Gambara, Milano",€1812 / m^2,1812,45.4644186,9.1423751
€ 598.000,76 m²,"Trilocale via San Siro 9, Amendola - Buonarroti, Milano",€7868 / m^2,7868,45.4698662,9.153352
€ 235.000,50 m²,"Bilocale via Emilio Broglio 6, Bovisa, Milano",€4700 / m^2,4700,45.5023846,9.1627301
€ 380.000,80 m²,"Trilocale viale Teodorico 4, Portello - Parco Vittoria, Milano",€4750 / m^2,4750,45.4871184,9.1522447
€ 1.780.000,190 m²,"Quadrilocale via Antonio Pollaiuolo 5, Isola, Milano",€9368 / m^2,9368,45.4889465,9.1872656
€ 315.000,62 m²,"Bilocale via Melchiorre Gioia 175, Maggiolina, Milano",€5081 / m^2,5081,45.4949304,9.2045959
€ 550.000,100 m²,"Trilocale via Giuseppe Ripamonti 227, Vigentino - Fatima, Milano",€5500 / m^2,5500,45.4289347,9.2026965
